title,n_human_reviews,baseline_jacc_mean,baseline_jacc_max,trained_jacc_mean,trained_jacc_max,baseline_sbert_mean,baseline_sbert_max,trained_sbert_mean,trained_sbert_max
ADA+: A GENERIC FRAMEWORK WITH MORE ADAPTIVE EXPLICIT ADJUSTMENT FOR LEARNING RATE | OpenReview,3,0.12427262927125816,0.12992125984251968,0.1304132684694997,0.13793103448275862,0.6026932994524637,0.7175756692886353,0.5446253220240275,0.657820463180542
AdaGAN: Adaptive GAN for Many-to-Many Non-Parallel Voice Conversion | OpenReview,3,0.11390157347489653,0.13167259786476868,0.09742121917783746,0.10362694300518134,0.6927408774693807,0.7609100937843323,0.6354318062464396,0.6919974088668823
Adapt-to-Learn: Policy Transfer in Reinforcement Learning | OpenReview,3,0.13533300707705323,0.14556962025316456,0.12605979642839021,0.1391304347826087,0.5379751722017924,0.6286965608596802,0.4545632600784302,0.6147773265838623
Adapting Behaviour for Learning Progress | OpenReview,4,0.11354273643326965,0.14,0.14846088346559463,0.16666666666666666,0.7562539130449295,0.8143486976623535,0.6819896697998047,0.7250571250915527
ADAPTING PRETRAINED LANGUAGE MODELS FOR LONG DOCUMENT CLASSIFICATION | OpenReview,3,0.12175910702784458,0.17194570135746606,0.16709758131776478,0.18636363636363637,0.5692796309789022,0.6506054401397705,0.6707745393117269,0.7504388689994812
Adapting to Label Shift with Bias-Corrected Calibration | OpenReview,3,0.12551074540611315,0.13392857142857142,0.16609478150197154,0.17872340425531916,0.6172098716100057,0.6675432324409485,0.4928315778573354,0.5671926736831665
Adaptive Adversarial Imitation Learning | OpenReview,3,0.08057081807081806,0.09523809523809523,0.12456256270954164,0.12840466926070038,0.6593050161997477,0.6931506395339966,0.63486647605896,0.7148554921150208
Adaptive Correlated Monte Carlo for Contextual Categorical Sequence Generation | OpenReview,3,0.12474959866390938,0.16666666666666666,0.1301619814190282,0.14485981308411214,0.5759750703970591,0.6253263354301453,0.5160956780115763,0.5276888608932495
Adaptive Data Augmentation with Deep Parallel Generative Models | OpenReview,3,0.09402704746465108,0.10714285714285714,0.1567020359590019,0.16806722689075632,0.6683515310287476,0.7387309074401855,0.7316090861956278,0.7720323801040649
ADAPTIVE GENERATION OF PROGRAMMING PUZZLES | OpenReview,3,0.12820978476393785,0.13580246913580246,0.16493563717621879,0.20588235294117646,0.5738664468129476,0.5910146236419678,0.6266514261563619,0.6887072324752808
Adaptive Generation of Unrestricted Adversarial Inputs | OpenReview,3,0.12014839035943363,0.13013698630136986,0.147295789416202,0.15426997245179064,0.5663463771343231,0.6804704666137695,0.6256257196267446,0.7580134868621826
Adaptive Learned Bloom Filter (Ada-BF): Efficient Utilization of the Classifier | OpenReview,3,0.16506584296873625,0.19801980198019803,0.13185367682283447,0.14838709677419354,0.6450745662053426,0.6599189043045044,0.6489500999450684,0.727859616279602
Adaptive Loss Scaling for Mixed Precision Training | OpenReview,3,0.13797636305686642,0.18691588785046728,0.1754358409262853,0.18023255813953487,0.6567004720369974,0.7721666097640991,0.5856499274571737,0.7049246430397034
Adaptive network sparsification with dependent variational beta-Bernoulli dropout | OpenReview,4,0.14345065934487186,0.17045454545454544,0.16188556054748413,0.17845117845117844,0.6181149184703827,0.7936551570892334,0.6694869995117188,0.7856462597846985
Adaptive Online Planning for Continual Lifelong Learning | OpenReview,3,0.1391303816319941,0.16243654822335024,0.15306793424440482,0.1717171717171717,0.7472083965937296,0.7855919599533081,0.664628803730011,0.7301884293556213
Adaptive Structural Fingerprints for Graph Attention Networks | OpenReview,3,0.12236607552921358,0.13551401869158877,0.12653761709161732,0.13304721030042918,0.6631096998850504,0.7215801477432251,0.5473916927973429,0.5962564945220947
AdaScale SGD: A Scale-Invariant Algorithm for Distributed Training | OpenReview,3,0.1245512101298285,0.13725490196078433,0.1383227126587257,0.14193548387096774,0.6150510311126709,0.7132569551467896,0.617494543393453,0.7561718225479126
AdaX: Adaptive Gradient Descent with Exponential Long Term Memory | OpenReview,4,0.16281516639893023,0.17597765363128492,0.10737394810855125,0.12014134275618374,0.6597015261650085,0.7357004284858704,0.42499178647994995,0.5433899760246277
Additive Powers-of-Two Quantization: A Non-uniform Discretization for Neural Networks | OpenReview,3,0.14210601208193196,0.168141592920354,0.122374537999538,0.13963963963963963,0.6840377052625021,0.7476304173469543,0.6113648017247518,0.6224818229675293
Address2vec: Generating vector embeddings for blockchain analytics | OpenReview,3,0.13436616687695,0.17766497461928935,0.14039057584302392,0.19148936170212766,0.6842541893323263,0.8184711933135986,0.45888789494832355,0.499218225479126
Adjustable Real-time Style Transfer | OpenReview,3,0.13200356561838708,0.15283842794759825,0.1472611376299625,0.15350877192982457,0.6302023132642111,0.7286145687103271,0.5673589905103048,0.7369729280471802
Advantage Weighted Regression: Simple and Scalable Off-Policy Reinforcement Learning | OpenReview,3,0.11250649581662238,0.1292517006802721,0.13401262409077877,0.14338235294117646,0.3264567156632741,0.3487004339694977,0.48852036396662396,0.5401434898376465
AdvCodec: Towards A Unified Framework for Adversarial Text Generation | OpenReview,3,0.15975588248280204,0.21839080459770116,0.1586665782068081,0.16498316498316498,0.7384475270907084,0.7641969919204712,0.5794947942097982,0.6018927097320557
AdvectiveNet: An Eulerian-Lagrangian Fluidic Reservoir for Point Cloud Processing | OpenReview,3,0.12238974719687921,0.1583710407239819,0.14725520621565033,0.16666666666666666,0.6505155762036642,0.6717609167098999,0.5176443060239156,0.5349732637405396
Adversarial Attacks on Copyright Detection Systems | OpenReview,4,0.13786211577696167,0.1572052401746725,0.13073197314356189,0.14427860696517414,0.7557332962751389,0.8365368843078613,0.7339595556259155,0.8055870532989502
Adversarial AutoAugment | OpenReview,3,0.15472315394946876,0.19130434782608696,0.14831005103826647,0.1791044776119403,0.7779956857363383,0.8212652206420898,0.7399301926294962,0.7895634770393372
Adversarial Example Detection and Classification with Asymmetrical Adversarial Training | OpenReview,3,0.14049159906419956,0.1509433962264151,0.1603610698850961,0.16826923076923078,0.73857448498408,0.7819249629974365,0.631375253200531,0.6452720165252686
Adversarial Filters of Dataset Biases | OpenReview,3,0.10017213733257875,0.11827956989247312,0.1564324408999619,0.1626984126984127,0.5200037360191345,0.621702253818512,0.6135027011235555,0.6618689298629761
Adversarial Imitation Attack | OpenReview,3,0.11606992163954188,0.12,0.17753821958891083,0.1975806451612903,0.602138340473175,0.6969574689865112,0.6308985948562622,0.6562560796737671
Adversarial Inductive Transfer Learning with input and output space adaptation | OpenReview,3,0.12527947286983432,0.12951807228915663,0.16506544138123086,0.19444444444444445,0.7349102099736532,0.8020077347755432,0.5862937569618225,0.6310062408447266
Adversarial Interpolation Training: A Simple Approach for Improving Model Robustness | OpenReview,3,0.1285735971548186,0.14457831325301204,0.19030490835140068,0.2222222222222222,0.6773690183957418,0.7148065567016602,0.672000527381897,0.7299023866653442
Adversarial Lipschitz Regularization | OpenReview,3,0.1165541561912024,0.14009661835748793,0.1369735417458948,0.14903846153846154,0.6708643436431885,0.8292996883392334,0.6248905062675476,0.6716867685317993
Adversarial Paritial Multi-label Learning | OpenReview,3,0.1539134273411016,0.16901408450704225,0.15521628763364018,0.16494845360824742,0.7321986158688863,0.7776768207550049,0.6641268730163574,0.682950496673584
Adversarial Policies: Attacking Deep Reinforcement Learning | OpenReview,3,0.11976913476431995,0.14847161572052403,0.09594061280166756,0.10407239819004525,0.6452317237854004,0.7173207402229309,0.4058198630809784,0.4298047125339508
Adversarial Privacy Preservation under Attribute Inference Attack | OpenReview,3,0.16314367129331742,0.17391304347826086,0.103089435270791,0.11827956989247312,0.7724935213724772,0.835610568523407,0.7627819379170736,0.8273073434829712
Adversarial Robustness Against the Union of Multiple Perturbation Models | OpenReview,3,0.1616428159972675,0.1853448275862069,0.18196618357487923,0.20833333333333334,0.7414316932360331,0.7903400659561157,0.6512008309364319,0.6836096048355103
Adversarial Robustness as a Prior for Learned Representations | OpenReview,3,0.11463560066263496,0.14675767918088736,0.12821428980258923,0.1497326203208556,0.6350883543491364,0.7096762657165527,0.615859587987264,0.6983237266540527
Adversarial Training and Provable Defenses: Bridging the Gap | OpenReview,3,0.12287876522699363,0.14339622641509434,0.1688197518007463,0.18478260869565216,0.5147644877433777,0.6479146480560303,0.5683264434337616,0.6645757555961609
